2011 super output area - lower layer,LSOA_CODE,SUM_CLAIMS
Liverpool 054C,E01006536,221
Liverpool 054D,E01006681,120
Liverpool 055A,E01006530,28
Liverpool 055B,E01006531,72
Liverpool 055C,E01006533,123
Liverpool 055D,E01006537,208
Liverpool 055E,E01006538,117
Liverpool 056A,E01006519,36
Liverpool 056B,E01006684,51
Liverpool 056C,E01006685,59
Liverpool 056D,E01006687,209
Liverpool 056E,E01006688,183
Liverpool 057A,E01006740,303
Liverpool 057B,E01006742,128
Liverpool 057C,E01006744,215
Liverpool 057D,E01006745,256
Liverpool 058A,E01006738,260
Liverpool 058B,E01006739,288
Liverpool 058C,E01006741,311
Liverpool 058D,E01006743,260
Liverpool 059A,E01006753,313
Liverpool 059B,E01006754,487
Liverpool 059C,E01006755,301
Liverpool 059D,E01006756,447
Liverpool 059E,E01006757,254
Liverpool 059F,E01006758,319
Liverpool 060A,E01006513,98
Liverpool 060B,E01033758,131
Liverpool 060C,E01033760,67
Liverpool 060D,E01033761,65
Liverpool 060E,E01033762,39
Liverpool 061A,E01033750,69
Liverpool 061B,E01033754,170
Liverpool 061C,E01033756,86
Liverpool 061D,E01033765,198
Liverpool 062A,E01033751,256
Liverpool 062B,E01033752,62
Liverpool 062C,E01033753,39
Liverpool 062D,E01033755,10
,,
,,
,,
,,
#,These figures are suppressed as value is 1 or 2,
,,
,,
,From May 2013 onwards these figures are not designated as National,
Statistics.,From May 2013 onwards these figures are not designated as National,
,From May 2013 onwards these figures are not designated as National,
